"district","Year","timePeriod","Production","AreaHarvested"
7,2008,1999,136875360672.9,6846.77
10,2008,1999,37546636007.9,2262.16
12,2008,1999,238357743110.3,16074.41
13,2008,1999,456676652638.6,21520.37
15,2008,1999,871863351673.1,44449.99
16,2008,1999,382210495900.48,19189.7015
51,2008,1999,30518381831.7,1010.3
53,2008,1999,49039295381.2,1458
55,2008,1999,92532497739.2,4164.69
57,2008,1999,114066866441,4849.44
59,2008,1999,30645868848.5,1284.99
64,2008,1999,75409596224.408,3100.35
65,2008,1999,58222390045.6,2768.35
66,2008,1999,92387100231.8,4342.35
81,2008,1999,107289587412.18,4779.2579
82,2008,1999,53016764507.6,2400.24
83,2008,1999,10144291035.9,513.01
84,2008,1999,28458047842.4,1328.58
91,2008,1999,85620396621.38,3085.3226
92,2008,1999,82223376933.4,2959.36
93,2008,1999,43858076154.2,1771.96
94,2008,1999,50386570421.1,2800.93
95,2008,1999,70623112513.9,3166.13
96,2008,1999,78931764432.3,3595.83
97,2008,1999,47046623923.2,1797.25
145,2008,1999,70402398170.2,3522.89
146,2008,1999,192248534121.1,9396.84
147,2008,1999,118927099105.9,5210.11
1,2009,2009,197699135176.092,7000.6
3,2009,2009,609294174727.416,21537.24
7,2009,2009,236799471158.7,10869.91
10,2009,2009,47521392432.174,2533.6124
12,2009,2009,406857938379.012,24946.34
13,2009,2009,698165951628.38,28351.1889
15,2009,2009,1125168228597.94,51278.67
16,2009,2009,498050649034.1,24818.47
51,2009,2009,46612602910.5,1531.76
53,2009,2009,84780940555.1,2519.72
55,2009,2009,116810366636.4,4374.24
57,2009,2009,164413246414.068,6317.31
59,2009,2009,43811113370.8,1691.84
64,2009,2009,27286229866.9,934.46
65,2009,2009,6153410112.8,318.52
66,2009,2009,48204523038.3,1820.41
81,2009,2009,173113772770.278,7582.1819
82,2009,2009,51742001004.9,2357.42
83,2009,2009,18342566477.064,635.69
84,2009,2009,51049965639.4,2257.06
91,2009,2009,95640757464.68,3537.2633
92,2009,2009,89824522482,3297.87
93,2009,2009,79078251921.3,3859.64
94,2009,2009,49545538932.7,2943.55
95,2009,2009,75104193387.588,3418.93
96,2009,2009,84785637499.876,3750.82
97,2009,2009,25921669492.5,1008.51
145,2009,2009,53719117927.8,2915.59
146,2009,2009,89961482869,4276.05
147,2009,2009,132965026092.4,6045.45
1,2010,2009,204775832508.528,7078.51
3,2010,2009,628295014730.46,22030.24
7,2010,2009,258346386798.5,11244.55
10,2010,2009,47328362355.6,2470.64
12,2010,2009,457881082435.588,25783.47
13,2010,2009,754931236188.702,29103.9588
15,2010,2009,1239050012291.7,53552.34
16,2010,2009,551509753862.2,24527.52
51,2010,2009,50673891908.7,1680.05
53,2010,2009,82576437370.8,2473.17
55,2010,2009,115280611691.3,4406.29
57,2010,2009,173307411750.808,6479.14
59,2010,2009,45004738042.1,1723.14
64,2010,2009,29023507453.8,958.11
65,2010,2009,7409262462.4,351.05
66,2010,2009,46989150510.6,1852.82
81,2010,2009,188562430764.914,7666.2706
82,2010,2009,58990513480.688,2367.56
83,2010,2009,19593133198.5,621.43
84,2010,2009,48436683373.956,2167.8
91,2010,2009,96776461673.78,3566.59
92,2010,2009,94382521051.872,3440.74
93,2010,2009,82157810297.4,3864.69
94,2010,2009,57032858171.5,2875.04
95,2010,2009,84639437699.4,3480.18
96,2010,2009,98970083334.672,3727.86
97,2010,2009,26410207940.7,1021.41
145,2010,2009,54219310385,2724.99
146,2010,2009,89514434974.5,4234.65
147,2010,2009,145920808129.6,6156.52
1,2011,2009,188072600112.988,7150.25
3,2011,2009,575714460014.944,21945.92
7,2011,2009,257101730488.084,11439.02
10,2011,2009,47508649010.9,2540.47
12,2011,2009,399740362356.796,25885.52
13,2011,2009,691713365304.471,29465.3643
15,2011,2009,1118576534622.48,52953.21
16,2011,2009,485881041014,24266.74
51,2011,2009,51826258324.6,1697.09
53,2011,2009,83237363024,2520.59
55,2011,2009,109578742591.2,4366.66
57,2011,2009,165804543350.784,6492.02
59,2011,2009,45739840467.9,1758.73
64,2011,2009,29179566654.6,971.67
65,2011,2009,8158361734.6,394.59
66,2011,2009,48901081577.6,1897
81,2011,2009,183232022437.052,7715.07
82,2011,2009,54543421307.9,2328.52
83,2011,2009,18388811223.2,644.88
84,2011,2009,47905977922.84,2168.46
91,2011,2009,93998101690.02,3688.27
92,2011,2009,90971326280.38,3442.25
93,2011,2009,78995118940.1,3767.26
94,2011,2009,55349328228.3,2900.72
95,2011,2009,76429498323.268,3398.69
96,2011,2009,92011753750.256,3703.88
97,2011,2009,24383839809,965.44
145,2011,2009,53513802855.8,2764.22
146,2011,2009,90556444915.2,4338.44
147,2011,2009,138628171704,6200.65
1,2012,2009,165396856748.384,7216.62
3,2012,2009,619345003479.58,22074.19
7,2012,2009,224664003226.424,11830.98
10,2012,2009,43417723390.7,2447.69
12,2012,2009,323922389884.724,25493.26
13,2012,2009,573299229929.469,29426.7651
15,2012,2009,934145486832.664,51274.23
16,2012,2009,458567759996.2,24328.51
51,2012,2009,55935007562.5,1733.21
53,2012,2009,88414121000.7,2663.87
55,2012,2009,112128807952.8,4366.95
57,2012,2009,167500909788.204,6436.69
59,2012,2009,44652042401.036,1696.44
64,2012,2009,27528301223.6,980.8
65,2012,2009,7642235459.4,356.03
66,2012,2009,46457077592.4,1946.33
81,2012,2009,167390560688.208,7658.56
82,2012,2009,51973419515.562,2408.8957
83,2012,2009,19555978836.368,635.86
84,2012,2009,49168972148.316,2186.91
91,2012,2009,105947070725.368,3785.89
92,2012,2009,98495619489.448,3440.12
93,2012,2009,82777997333.472,3911.47
94,2012,2009,53358049623.6,3095.68
95,2012,2009,76363046373.204,3434.86
96,2012,2009,89740816017.5,3918.58
97,2012,2009,28061683478.8,985.26
145,2012,2009,51319722100.6,2792.49
146,2012,2009,79371322673.4,4192.63
147,2012,2009,121231881741,6253.79
1,2013,2009,207295807933.648,7306.57
3,2013,2009,617235019930.236,21928.24
7,2013,2009,249236773806.556,11709.27
10,2013,2009,45799517655.8,2526.12
12,2013,2009,403054580562.092,25276.82
13,2013,2009,719179558497.118,29582.5638
15,2013,2009,1183896504107.48,53887.11
16,2013,2009,485110473018.4,23835.61
51,2013,2009,58832140402.3,1730.41
53,2013,2009,88037310538.7,2526.27
55,2013,2009,113720824987.8,4386.46
57,2013,2009,161595892905.192,6290.53
59,2013,2009,42694213108.368,1704.35
64,2013,2009,26426496003.2,956.94
65,2013,2009,6467824754,399.69
66,2013,2009,38271555003.9,1759.94
81,2013,2009,175612426171.064,7657.74
82,2013,2009,52659355631.936,2294.93
83,2013,2009,17651713024.2,642.86
84,2013,2009,50974517689.436,2178.89
91,2013,2009,107960918230.372,3739.1033
92,2013,2009,103237342182.016,3552.24
93,2013,2009,85711780101.016,3848.06
94,2013,2009,57688024556.3,3119.04
95,2013,2009,73491579044.72,3416.22
96,2013,2009,81475603141.924,3608.82
97,2013,2009,27655461739.7,995.33
145,2013,2009,57411841786.5,2677.98
146,2013,2009,76195830291,4008.39
147,2013,2009,125845921552.9,5921.71
1,2014,2009,193748226473.372,7296.48
3,2014,2009,639135276356.372,22395.82
7,2014,2009,280301810765.3,11986.73
10,2014,2009,51251942045.7,2546.09
12,2014,2009,509495692690.906,27823.8574
13,2014,2009,759906898412.12,29434.7697
