"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction0","stabilityProduction1","stabilityProduction2","asynchronyBetween_region0","asynchronyBetween_region1","asynchronyBetween_region2","asynchronyBetween_farm0","asynchronyBetween_farm1","asynchronyBetween_farm2","asynchronyWithin0","asynchronyWithin1","asynchronyWithin2","areaHarvested"
92,1999,143,7,1,5,9.98561087340829,17.3096245266708,20.1149914359267,0.3018543166,0.4818401059,0.2845369745,0.492970660279969,0.553604120001334,0.52370828164395,0.770548646050669,0.83659744449199,0.803504552648984,27351.26
92,2009,137,7,1,5,12.0751418673039,24.9621555811842,26.0190420349875,0.3364754191,0.6384425115,0.3857777337,0.45975773129504,0.519810196895512,0.524101627322343,0.858533805871906,0.913359627993341,0.893444759899531,35253.22
15,1999,144,9,1,7,10.3652890324912,10.3888781083211,15.6762173610295,0.5469152748,0.3613238815,0.3262259926,0.55140610843601,0.530238699924921,0.528320567571852,0.705580815411398,0.696590605075887,0.693057723357081,433562.64
15,2009,149,8,1,6,10.4514571067011,10.7264608154444,14.9789366600895,0.48798738,0.4533910462,0.3694635404,0.574459941865648,0.574977987078646,0.55896056867914,0.700203996810252,0.675518367678742,0.682601805602972,525541.3278
64,1999,86,7,1,5,9.25618363118373,17.0741459887934,23.7889320148169,0.24945878,0.4308396526,0.3467313864,0.521379714332272,0.545142021974754,0.521190574509182,0.750620552869136,0.847093803986546,0.82018210465781,27913.02
64,2009,14,5,2,4,14.7013620152994,18.5256044147154,30.0258611369597,0.5511200133,0.6476815066,0.5676373616,0.583010944333354,0.632043311299618,0.593755663055977,0.713512849572447,0.69813948134115,0.767059869594713,9858.35
13,1999,68,7,1,6,14.9086212898307,15.0213665861896,26.1723639353733,0.68457722,0.5932090446,0.3888111177,0.613774216355998,0.636514749926169,0.605146012962551,0.741456089643012,0.713630375825436,0.820722368887599,207890.7525
13,2009,83,7,1,6,8.80151596409679,8.82769940080032,14.2260570383507,0.3310084201,0.2623916592,0.3029918134,0.53824176503013,0.529111136935518,0.558055932140782,0.689397320979289,0.661830105347886,0.709481580247424,290831.1449
55,1999,160,7,1,4,13.3889022108459,20.4106564867322,90.3647940168643,0.4890461357,0.6108125597,0.9301462424,0.412268049421639,0.461714566013512,0.506540505371134,0.864592985013272,0.891734214695119,0.923307636899377,39097.2
55,2009,153,7,1,4,28.9734847913528,31.6953197029268,61.6231492998574,0.7204283956,0.7275559297,0.834240243,0.479623432396934,0.487994188650342,0.503052507718288,0.932900982579973,0.92839003500463,0.933108701488832,43236.7196
147,1999,25,6,1,6,7.95602898439846,8.75844658846534,14.2656047760509,0.4123694731,0.3956325717,0.3761184808,0.543275707490286,0.554557770432251,0.55655325677443,0.601715098663792,0.577636496522041,0.601060269995453,49107.398
147,2009,31,6,1,5,10.3545592508059,11.6628261607773,20.5455961367931,0.5782339802,0.5548062245,0.5877062932,0.608379248023452,0.612907676713354,0.610810981750824,0.675650662910045,0.702929790631653,0.736348474904398,62122.6341
7,1999,175,6,1,5,9.20462063391816,17.3804721195401,19.4409141654864,0.2738701506,0.4794038934,0.3506022475,0.466806038877282,0.529843190245673,0.514140176666478,0.804646869452998,0.877038543206901,0.84591438426441,61516.62
7,2009,213,7,1,5,13.3877238082101,18.0875797657175,31.7844882730523,0.6302558293,0.7464677943,0.7997379437,0.502361101744766,0.541249832956323,0.580197117288689,0.818662894210363,0.809259047123589,0.816863884965933,118274.253
53,1999,34,4,1,4,13.6252921149378,14.2159657804663,20.7567554137454,0.5051729646,0.4746268223,0.5297762699,0.484308028935275,0.533171461977737,0.560296368641819,0.761164168031254,0.684990647030511,0.587888999999463,14839.49
53,2009,42,6,1,4,13.0660247697436,16.6569500422803,29.7511702681228,0.5843478038,0.6838075492,0.6656291761,0.524458279735154,0.588035666993662,0.546109568792121,0.748714511276884,0.698015419596561,0.740543792217359,26471.0016
96,1999,121,8,1,5,7.32614143819087,10.4907407590945,11.9192856414169,0.3000517522,0.312911057,0.2362106774,0.454420967227374,0.506933027468581,0.46367444692937,0.681038656796184,0.759616821543515,0.661356542397243,32268.76
96,2009,106,8,1,6,9.61439569215237,11.8834110439499,17.8091674195413,0.5405667582,0.6050501932,0.5832432196,0.518334788936924,0.557553517941319,0.523387375527531,0.750013605595134,0.722321644523789,0.723766679138149,38279.2
93,1999,82,7,1,5,10.8789094238237,15.5379878393195,24.7449661097852,0.4725744316,0.4910444908,0.5674658688,0.388401000387245,0.417880327210705,0.437665501837386,0.758442910647569,0.807737485578857,0.775196398257896,15990.2544
93,2009,166,8,1,5,13.8225752772654,28.1086800954899,30.93908414946,0.4985018121,0.7267446318,0.5036777281,0.44089838431553,0.485871153121035,0.48105876196184,0.838766070401411,0.887430603388807,0.88174185283048,38791.24
94,1999,156,6,1,5,8.52902084649313,14.2678552944683,17.246290051149,0.1766779518,0.2585474651,0.163792414,0.328417795371536,0.364273302620083,0.340245330644212,0.825398441110797,0.895417563156431,0.859613235606956,25334.34
94,2009,115,6,1,4,11.1739323125424,22.7389904152463,31.2606352619515,0.2917546868,0.5374850051,0.4609591037,0.391552564254625,0.430772482816304,0.445288896256761,0.855073591216565,0.914720822612143,0.901504308965098,30003.59
16,1999,69,7,1,5,9.18008285965284,10.4174069573589,15.897065454005,0.492980917,0.3745842607,0.4769913329,0.557510526681309,0.547419918632746,0.551074614097231,0.644385397388951,0.668574057204333,0.652928187185061,183319.4173
