"REGION_ID","timePeriod","no","asynchrony0","asynchrony1","asynchrony2","metric","rep"
3,1999,90,0.801462973635299,0.786109415850458,0.817720027781824,"asynchronyWithin",5
3,1999,100,0.783139897640014,0.773343998939283,0.818316978678405,"asynchronyWithin",5
3,1999,120,0.776586380236857,0.771235601036365,0.813715041036825,"asynchronyWithin",5
3,1999,140,0.776037968010727,0.77744463832085,0.814130566131031,"asynchronyWithin",5
3,1999,160,0.787929697945671,0.803023104574523,0.889302357202447,"asynchronyWithin",5
3,1999,180,0.793587957914714,0.79700679989985,0.887842640331229,"asynchronyWithin",5
3,1999,200,0.794953231318011,0.79792280655812,0.890662400751689,"asynchronyWithin",5
3,1999,220,0.797814959014083,0.79993740951578,0.889833857253643,"asynchronyWithin",5
3,1999,240,0.800769264387635,0.800731125971849,0.887604299424018,"asynchronyWithin",5
3,1999,260,0.9162927983,0.9001391082,0.8976875311,"asynchronyWithin",5
3,1999,280,0.9164752811,0.9008059337,0.9044313095,"asynchronyWithin",5
3,1999,300,0.9187406217,0.9022770732,0.9069451542,"asynchronyWithin",5
3,1999,1,0,0,0,"asynchronyWithin",6
3,1999,2,0.283180928377318,0.232436794776201,0.327389593703213,"asynchronyWithin",6
3,1999,3,0.419385063395872,0.421759826245269,0.549675315739599,"asynchronyWithin",6
3,1999,5,0.612818821595836,0.57819127139787,0.697019344720083,"asynchronyWithin",6
3,1999,10,0.677947626270927,0.63348594868904,0.676504352285731,"asynchronyWithin",6
3,1999,20,0.767966055838945,0.787369495935218,0.782292606604289,"asynchronyWithin",6
3,1999,30,0.779190051610814,0.786003873164532,0.796276457904938,"asynchronyWithin",6
3,1999,40,0.775640116757975,0.777479577064954,0.794763186802507,"asynchronyWithin",6
3,1999,50,0.783642559338078,0.780204774577799,0.795406135947727,"asynchronyWithin",6
3,1999,60,0.774690750732917,0.776944971262823,0.789759185614713,"asynchronyWithin",6
3,1999,70,0.785195245555737,0.774390854989061,0.777037899025892,"asynchronyWithin",6
3,1999,80,0.804195684595731,0.777524054906477,0.754391428383419,"asynchronyWithin",6
3,1999,90,0.812516656770834,0.781704238753784,0.776898723940289,"asynchronyWithin",6
3,1999,100,0.794209995922376,0.763804724830746,0.761389508972196,"asynchronyWithin",6
3,1999,120,0.805935803473746,0.778353214998322,0.787726164152792,"asynchronyWithin",6
3,1999,140,0.797115188410843,0.775240439145985,0.772984621791171,"asynchronyWithin",6
3,1999,160,0.808808626175029,0.804066898456947,0.863953489426054,"asynchronyWithin",6
3,1999,180,0.814597511875058,0.803763216799201,0.870464606341326,"asynchronyWithin",6
3,1999,200,0.805575298201524,0.803670183606339,0.868435204067565,"asynchronyWithin",6
3,1999,220,0.79697817288202,0.795381298351562,0.876972904683093,"asynchronyWithin",6
3,1999,240,0.797847905638504,0.79913770665603,0.881212815749814,"asynchronyWithin",6
3,1999,260,0.9189496186,0.8996458437,0.8875208369,"asynchronyWithin",6
3,1999,280,0.9196533756,0.9034606777,0.9038443833,"asynchronyWithin",6
3,1999,300,0.9197206588,0.9032050742,0.9042097912,"asynchronyWithin",6
3,1999,1,0,0,0,"asynchronyWithin",7
3,1999,2,0.37728374050294,0.299859338727576,0.190138957660903,"asynchronyWithin",7
3,1999,3,0.426903808507034,0.371403965075696,0.328201753011597,"asynchronyWithin",7
3,1999,5,0.568378422319245,0.555007886220508,0.480944911687112,"asynchronyWithin",7
3,1999,10,0.673290726234451,0.711777881485698,0.628882060828834,"asynchronyWithin",7
3,1999,20,0.755014128232229,0.761286364152006,0.716358030797142,"asynchronyWithin",7
3,1999,30,0.773932090173408,0.763015039606328,0.721017013989937,"asynchronyWithin",7
3,1999,40,0.761800311996181,0.763186831053903,0.742385677277701,"asynchronyWithin",7
3,1999,50,0.761627718921705,0.765626398933056,0.746725292399689,"asynchronyWithin",7
3,1999,60,0.764726397090318,0.767858693455702,0.756527861385929,"asynchronyWithin",7
3,1999,70,0.757131583399045,0.756749178547526,0.751818342905291,"asynchronyWithin",7
3,1999,80,0.78886303560295,0.768137542840311,0.749955199937379,"asynchronyWithin",7
3,1999,90,0.798422010755523,0.77637271518038,0.779629719525515,"asynchronyWithin",7
3,1999,100,0.789188667630041,0.782853849037757,0.790973899457004,"asynchronyWithin",7
3,1999,120,0.79039673806246,0.78283529746649,0.790511006702684,"asynchronyWithin",7
3,1999,140,0.788902471690842,0.783382045404633,0.793431373897904,"asynchronyWithin",7
3,1999,160,0.790329492176167,0.801837197174925,0.870165084488751,"asynchronyWithin",7
3,1999,180,0.787824304489223,0.801135562539744,0.866177918259278,"asynchronyWithin",7
3,1999,200,0.790841441907666,0.80303519532598,0.86607589412772,"asynchronyWithin",7
3,1999,220,0.788305888547403,0.796811128861686,0.872712954137226,"asynchronyWithin",7
3,1999,240,0.793871783797976,0.799216488291114,0.887125207831503,"asynchronyWithin",7
3,1999,260,0.9204580546,0.9018233938,0.8935375843,"asynchronyWithin",7
3,1999,280,0.9184354844,0.9014285915,0.9018501243,"asynchronyWithin",7
3,1999,300,0.9176471287,0.9001966262,0.9029766075,"asynchronyWithin",7
3,1999,1,0,0,0,"asynchronyWithin",8
3,1999,2,0.405180071510849,0.374348756461721,0.363609323328086,"asynchronyWithin",8
3,1999,3,0.445562699137432,0.511257675312376,0.471535281968515,"asynchronyWithin",8
3,1999,5,0.562258781660414,0.620156939539219,0.576451753320179,"asynchronyWithin",8
3,1999,10,0.677974279815346,0.77559805776043,0.738111774511377,"asynchronyWithin",8
3,1999,20,0.703912872231595,0.744727100926329,0.801141520151256,"asynchronyWithin",8
3,1999,30,0.754177940212755,0.776304738844437,0.81310256497329,"asynchronyWithin",8
3,1999,40,0.783877251964224,0.789709072101742,0.816847559380202,"asynchronyWithin",8
3,1999,50,0.776416605087587,0.785018530736874,0.813194809149263,"asynchronyWithin",8
3,1999,60,0.788329583071442,0.788909331497471,0.819575209273573,"asynchronyWithin",8
3,1999,70,0.78554371836246,0.781567243177544,0.805469323445144,"asynchronyWithin",8
3,1999,80,0.806567814450591,0.789830094878362,0.802929199010585,"asynchronyWithin",8
3,1999,90,0.813140053271341,0.794982162978217,0.830280489574659,"asynchronyWithin",8
3,1999,100,0.79899546095222,0.789030406325644,0.835671152674658,"asynchronyWithin",8
3,1999,120,0.790531592927085,0.781166874122643,0.817668780667339,"asynchronyWithin",8
3,1999,140,0.787025769307866,0.773447489980786,0.812499360602465,"asynchronyWithin",8
3,1999,160,0.789505002374561,0.79513203723208,0.898702628853555,"asynchronyWithin",8
3,1999,180,0.798677863540744,0.798577791914106,0.89535246373352,"asynchronyWithin",8
3,1999,200,0.795706661269473,0.801032227565814,0.89166253519579,"asynchronyWithin",8
3,1999,220,0.794814504474741,0.798073960176549,0.887517274066322,"asynchronyWithin",8
3,1999,240,0.79610858492203,0.80180699682453,0.88730892815107,"asynchronyWithin",8
3,1999,260,0.9220001338,0.9095749482,0.9057250048,"asynchronyWithin",8
3,1999,280,0.9229055022,0.9066942867,0.9001738266,"asynchronyWithin",8
3,1999,300,0.921924843,0.9064286261,0.9089208792,"asynchronyWithin",8
3,1999,1,0,0,0,"asynchronyWithin",9
3,1999,2,0.321062283612377,0.340097687050973,0.38722466395506,"asynchronyWithin",9
3,1999,3,0.430738594342831,0.452041628430577,0.561836680251666,"asynchronyWithin",9
3,1999,5,0.580492866521921,0.553235185025907,0.594022467205063,"asynchronyWithin",9
3,1999,10,0.706652770746902,0.693885474877671,0.709139964034867,"asynchronyWithin",9
3,1999,20,0.735962520618771,0.733831794307775,0.743478344772595,"asynchronyWithin",9
3,1999,30,0.756636589044917,0.745071329268955,0.751021915158704,"asynchronyWithin",9
3,1999,40,0.765706764320404,0.757678653218524,0.772966471439242,"asynchronyWithin",9
3,1999,50,0.763731512513598,0.75496702415585,0.774091545973173,"asynchronyWithin",9
3,1999,60,0.76504668417718,0.757556639534648,0.771323099899037,"asynchronyWithin",9
3,1999,70,0.775729305668361,0.768364324029482,0.777650892874533,"asynchronyWithin",9
3,1999,80,0.799152092253149,0.783214218043332,0.773868454812147,"asynchronyWithin",9
3,1999,90,0.798501005747847,0.778977495117783,0.797194993259082,"asynchronyWithin",9
3,1999,100,0.77771063674588,0.762493714301143,0.786928174404692,"asynchronyWithin",9
3,1999,120,0.790602447939682,0.77344070236668,0.795807883883186,"asynchronyWithin",9
3,1999,140,0.792983813590391,0.78099238435284,0.799612840912447,"asynchronyWithin",9
3,1999,160,0.796575621494378,0.813484959907999,0.895315928624885,"asynchronyWithin",9
3,1999,180,0.796379403267423,0.807247520546779,0.882868415298295,"asynchronyWithin",9
3,1999,200,0.800193973259822,0.812845924008839,0.88054876055579,"asynchronyWithin",9
3,1999,220,0.7971780148457,0.81133157830011,0.887350961710646,"asynchronyWithin",9
3,1999,240,0.796316098792906,0.800732465006946,0.883104377413232,"asynchronyWithin",9
3,1999,260,0.9226298256,0.9081240359,0.906025431,"asynchronyWithin",9
3,1999,280,0.9239326767,0.9100586521,0.9062559026,"asynchronyWithin",9
3,1999,300,0.9217830099,0.9071802238,0.9110045409,"asynchronyWithin",9
3,1999,1,0,0,0,"asynchronyWithin",10
3,1999,2,0.315207071108578,0.306916901573726,0.396315339671431,"asynchronyWithin",10
3,1999,3,0.441391002051228,0.457467437190836,0.527870136006225,"asynchronyWithin",10
3,1999,5,0.612839672666471,0.628187506460386,0.613387785427955,"asynchronyWithin",10
3,1999,10,0.741043710524796,0.717522283148116,0.713565776790482,"asynchronyWithin",10
3,1999,20,0.772213536018594,0.761136675092451,0.752887877790671,"asynchronyWithin",10
3,1999,30,0.782148689177609,0.779418433420151,0.774159596296705,"asynchronyWithin",10
3,1999,40,0.77116186744577,0.777900212235079,0.786047251050461,"asynchronyWithin",10
3,1999,50,0.761845818472122,0.768986321768319,0.782725995185948,"asynchronyWithin",10
3,1999,60,0.752438809742147,0.757573816308473,0.777000645888499,"asynchronyWithin",10
3,1999,70,0.759213915408382,0.75863461557896,0.775939060536995,"asynchronyWithin",10
3,1999,80,0.778492988038312,0.766005810432613,0.775448623838489,"asynchronyWithin",10
3,1999,90,0.783099867544865,0.773502378535319,0.801984817084885,"asynchronyWithin",10
3,1999,100,0.76720849694506,0.767168954509192,0.802954686820238,"asynchronyWithin",10
3,1999,120,0.775620847739159,0.765607940773927,0.80946252355712,"asynchronyWithin",10
3,1999,140,0.781015392186397,0.761367464268301,0.799505339975843,"asynchronyWithin",10
3,1999,160,0.790344727908296,0.786510962017346,0.874321150840033,"asynchronyWithin",10
3,1999,180,0.796714722511129,0.78753544153567,0.873503216937474,"asynchronyWithin",10
3,1999,200,0.80438194253366,0.79431654628387,0.875046413763458,"asynchronyWithin",10
3,1999,220,0.797745438117167,0.797044025893667,0.876622504212178,"asynchronyWithin",10
3,1999,240,0.798152175689288,0.798669217472257,0.890118087312051,"asynchronyWithin",10
3,1999,260,0.9241398413,0.9070311495,0.9145616022,"asynchronyWithin",10
3,1999,280,0.9240144951,0.9083728643,0.9128902818,"asynchronyWithin",10
3,1999,300,0.9218047496,0.9055214915,0.910279501,"asynchronyWithin",10
3,2009,1,0,0,0,"asynchronyBetween",1
3,2009,2,0.3486635547,0.3880129947,0.1713547983,"asynchronyBetween",1
3,2009,3,0.6104481187,0.8135930557,0.6713781494,"asynchronyBetween",1
3,2009,4,0.6581000704,0.7561520207,0.8272477379,"asynchronyBetween",1
3,2009,5,0.6192036207,0.7301687017,0.5745716351,"asynchronyBetween",1
3,2009,6,0.7018356799,0.7766209901,0.7995801424,"asynchronyBetween",1
3,2009,7,0.729258799,0.8346204013,0.7928410011,"asynchronyBetween",1
3,2009,1,0,0,0,"asynchronyBetween",2
3,2009,2,0.3640863189,0.3869645269,0.5292472209,"asynchronyBetween",2
3,2009,3,0.4830827805,0.5111571648,0.5824120926,"asynchronyBetween",2
3,2009,4,0.4822472692,0.5915912018,0.4556320903,"asynchronyBetween",2
3,2009,5,0.6577056739,0.7229982383,0.5774131072,"asynchronyBetween",2
3,2009,6,0.7159474469,0.8316011356,0.7825272887,"asynchronyBetween",2
3,2009,7,0.729258799,0.8346204013,0.7928410011,"asynchronyBetween",2
3,2009,1,0,0,0,"asynchronyBetween",3
3,2009,2,0.1217870708,0.1301994363,0.4507051432,"asynchronyBetween",3
3,2009,3,0.4637346339,0.5623442484,0.5906933294,"asynchronyBetween",3
3,2009,4,0.6073722513,0.6823839862,0.4763264916,"asynchronyBetween",3
3,2009,5,0.5292530379,0.5660121565,0.7331030864,"asynchronyBetween",3
3,2009,6,0.6500967655,0.7258642697,0.7537520008,"asynchronyBetween",3
