"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction1","stabilityProduction2","asynchronyBetween_region1","asynchronyBetween_region2","asynchronyBetween_farm1","asynchronyBetween_farm2","asynchronyWithin1","asynchronyWithin2","areaHarvested"
147,1998,30,6,1,6,7.3486520280304,10.4187008580925,0.339369493777094,0.099705979038235,0.529421799404755,0.466116955289301,0.592377670436334,0.623945838243946,39321.3443
147,2008,31,6,1,5,9.90021898800299,15.8614216746942,0.42707726922608,0.401135248070426,0.506214360123469,0.502082030425915,0.598316096176624,0.645224802040212,73224.6463
7,1998,174,8,1,5,17.5028715123804,19.155961315008,0.565590054840376,0.369171519821715,0.516269551212209,0.491594531587754,0.858357377165321,0.835246222782556,59669.07
7,2008,241,7,1,5,15.4258933156442,38.5525762916223,0.655396560104316,0.844555920630245,0.525321035419214,0.580493500979206,0.806687428867146,0.834929932921707,125839.36
96,1998,118,8,1,5,10.5175335509514,11.3965833456431,0.318428127398689,0.205162909266721,0.517297862770616,0.456013370352925,0.769554220913761,0.669670784513779,29748.44
96,2008,114,8,1,6,11.6437260177056,15.206552833632,0.573232233398388,0.488529384624977,0.526213647261902,0.514612969447474,0.707889224516996,0.713436320596737,43597.58
16,1998,72,7,1,5,10.4087167313165,14.6043322957707,0.366677778095003,0.453432534348585,0.529414061251143,0.509588150537568,0.683971237270628,0.617199383409002,175061.8858
16,2008,73,6,1,5,11.6671420714851,16.3610011966737,0.258995377777207,0.213962546618749,0.488774882086202,0.435025146203512,0.711940460378529,0.697790241860738,246230.0186
93,1998,83,7,1,5,17.9359527442535,25.4650514277535,0.580894419807805,0.600183864970494,0.42755165152404,0.409451214301511,0.80142572684223,0.767321831105214,14912.6044
93,2008,168,8,1,5,26.3117787670507,28.5504974682878,0.695490904296546,0.47137916563264,0.480329483657221,0.463095438313796,0.887420229489308,0.877716105900967,37837.99
94,1998,163,6,1,5,14.3875468086319,17.2890190978003,0.282029774920935,0.217617437924383,0.33888758890893,0.330669935061774,0.897810910699319,0.858373691923631,25474.24
94,2008,130,6,1,4,19.1493644036188,27.74313316202,0.3822447134859,0.391619993078324,0.437265304362235,0.421298732499777,0.908369355852359,0.894252639351058,31948.63
12,1998,78,9,1,6,5.32090140079158,7.34589076845286,0.301901324246122,0.236276313464726,0.417594827481938,0.388343220044237,0.555169860411879,0.521878918311581,180776.65
12,2008,105,9,1,8,7.58583884151421,24.9312117244536,0.546313051305789,0.757445581204411,0.498734846302854,0.560578552094526,0.58131240761984,0.79444869569005,264652.38
145,1998,45,6,1,5,11.1860318394273,15.4067149648478,0.256032215654186,0.310241527130367,0.510212498262948,0.492052988337189,0.802072343965405,0.769496310745863,37119.698
145,2008,36,7,1,5,18.5008402809551,24.8989759651949,0.720440526619737,0.66789848582479,0.66408528362261,0.64915766009552,0.761693687605561,0.769538921183758,43626.4913
97,1998,91,8,1,4,12.3854432567677,15.614858486718,0.310968166780847,0.268838012870407,0.478412669885834,0.46214729923511,0.800069708848263,0.730629587895199,18938.9766
97,2008,34,7,1,4,17.3186899952299,24.1941047207511,0.654674937805434,0.459945667365832,0.531937718521484,0.50652512279379,0.734696114368574,0.778833675417365,9898.68
82,1998,57,8,1,5,13.0909101197355,14.4199166849595,0.451776810042244,0.286954013446972,0.554875440503254,0.530596771531741,0.767869581814201,0.693294935037253,21899.1708
82,2008,52,8,1,5,16.3156060120032,36.6234076177065,0.577017328798798,0.668662581869194,0.580513619885336,0.602838443937226,0.828234225911199,0.900962146829915,23868.9692
91,1998,97,7,1,5,13.735021136828,16.7657477036581,0.491439131119971,0.292112360551151,0.537831909262614,0.541516266861553,0.745020319232886,0.724912245280743,25720.99
91,2008,117,7,1,5,16.6637520721841,17.9915197721754,0.54141105634455,0.245464399010506,0.52928353309271,0.477122236226302,0.827833331222427,0.832426821846999,39462.5532
10,1998,51,5,1,4,9.44487416010058,18.7536800570088,0.321166772382684,0.553217210127585,0.44518293904593,0.467637727764505,0.770268629973153,0.784925043578669,19645.3654
10,2008,57,5,1,5,14.9703267810756,44.6962335853492,0.390661233804695,0.769629314200479,0.493593229173705,0.548573642189033,0.886878648891786,0.916286684279071,27966.4347
83,1998,23,8,1,4,12.7942798693573,13.6654900646121,0.629749656142416,0.365379962085869,0.364962281344035,0.326944329686057,0.663524166542971,0.62754083030821,3908.2917
83,2008,16,6,1,4,8.9475816106642,12.8282793235297,0.631977730736308,0.542199103760495,0.444135273987803,0.454867241357069,0.40691309993346,0.480366342962871,6303.44
